"indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"blank1","blank2","ext",100,100,17,100,17,17,17,204259377
"blank1","blank2","female",100,100,51,100,51,51,51,204259377
"blank1","blank2","fifteento49",100,100,55,100,55,55,55,204259377
"blank1","blank2","fiveto14",100,100,18,100,18,18,18,204259377
"blank1","blank2","gt49",100,100,19,100,19,19,19,204259377
"blank1","blank2","higher",100,100,15,100,15,15,15,121270053
"blank1","blank2","male",100,100,49,100,49,49,49,204259377
"blank1","blank2","no.birth.reg",100,100,,100,,,,14914870
"blank1","blank2","no.educ",100,100,1,100,1,1,1,121270053
"blank1","blank2","no.skilled.attendant",100,100,,100,,,,56098874
"blank1","blank2","non.p20",100,100,93,100,93,93,93,204259377
"blank1","blank2","p20",100,100,7,100,7,7,7,204259377
"blank1","blank2","primary",100,100,99,100,99,99,99,121270053
"blank1","blank2","rural",100,100,17,100,17,17,17,204259377
"blank1","blank2","secondary",100,100,42,100,42,42,42,121270053
"blank1","blank2","stunted",100,100,7,100,7,7,7,14914870
"blank1","blank2","under5",100,100,8,100,8,8,8,204259377
"blank1","blank2","urban",100,100,83,100,83,83,83,204259377
"blank1","ext","female",100,17,51,17,9,51,9,204259377
"blank1","ext","fifteento49",100,17,55,17,9,55,9,204259377
"blank1","ext","fiveto14",100,17,18,17,4,18,4,204259377
"blank1","ext","gt49",100,17,19,17,2,19,2,204259377
"blank1","ext","higher",100,15,15,15,0,15,0,121270053
"blank1","ext","male",100,17,49,17,9,49,9,204259377
"blank1","ext","no.birth.reg",100,22,,22,0,,0,14914870
"blank1","ext","no.educ",100,15,1,15,0,1,0,121270053
"blank1","ext","no.skilled.attendant",100,17,,17,0,,0,56098874
"blank1","ext","non.p20",100,17,93,17,11,93,11,204259377
"blank1","ext","p20",100,17,7,17,7,7,7,204259377
"blank1","ext","primary",100,15,99,15,12,99,12,121270053
"blank1","ext","rural",100,17,17,17,11,17,11,204259377
"blank1","ext","secondary",100,15,42,15,2,42,2,121270053
"blank1","ext","stunted",100,22,7,22,2,7,2,14914870
"blank1","ext","under5",100,17,8,17,2,8,2,204259377
"blank1","ext","urban",100,17,83,17,6,83,6,204259377
"blank1","female","fifteento49",100,51,55,51,28,55,28,204259377
"blank1","female","fiveto14",100,51,18,51,9,18,9,204259377
"blank1","female","gt49",100,51,19,51,11,19,11,204259377
"blank1","female","higher",100,53,15,53,8,15,8,121270053
"blank1","female","male",100,51,49,51,0,49,0,204259377
"blank1","female","no.birth.reg",100,48,,48,0,,0,14914870
"blank1","female","no.educ",100,53,1,53,1,1,1,121270053
"blank1","female","no.skilled.attendant",100,100,,100,,,,56098874
"blank1","female","non.p20",100,51,93,51,48,93,48,204259377
"blank1","female","p20",100,51,7,51,3,7,3,204259377
"blank1","female","primary",100,53,99,53,48,99,48,121270053
"blank1","female","rural",100,51,17,51,8,17,8,204259377
"blank1","female","secondary",100,53,42,53,21,42,21,121270053
"blank1","female","stunted",100,48,7,48,3,7,3,14914870
"blank1","female","under5",100,51,8,51,4,8,4,204259377
"blank1","female","urban",100,51,83,51,43,83,43,204259377
"blank1","fifteento49","fiveto14",100,55,18,55,0,18,0,204259377
"blank1","fifteento49","gt49",100,55,19,55,0,19,0,204259377
"blank1","fifteento49","higher",100,65,15,65,10,15,10,121270053
"blank1","fifteento49","male",100,55,49,55,27,49,27,204259377
"blank1","fifteento49","no.birth.reg",100,0,,0,0,,0,14914870
"blank1","fifteento49","no.educ",100,65,1,65,1,1,1,121270053
"blank1","fifteento49","no.skilled.attendant",100,100,,100,,,,56098874
"blank1","fifteento49","non.p20",100,55,93,55,51,93,51,204259377
"blank1","fifteento49","p20",100,55,7,55,3,7,3,204259377
"blank1","fifteento49","primary",100,65,99,65,63,99,63,121270053
"blank1","fifteento49","rural",100,55,17,55,9,17,9,204259377
"blank1","fifteento49","secondary",100,65,42,65,30,42,30,121270053
"blank1","fifteento49","stunted",100,0,7,0,0,7,0,14914870
"blank1","fifteento49","under5",100,55,8,55,0,8,0,204259377
"blank1","fifteento49","urban",100,55,83,55,45,83,45,204259377
"blank1","fiveto14","gt49",100,18,19,18,0,19,0,204259377
"blank1","fiveto14","higher",100,0,15,0,0,15,0,121270053
"blank1","fiveto14","male",100,18,49,18,9,49,9,204259377
"blank1","fiveto14","no.birth.reg",100,0,,0,0,,0,14914870
"blank1","fiveto14","no.educ",100,0,1,0,0,1,0,121270053
"blank1","fiveto14","no.skilled.attendant",100,0,,0,0,,0,56098874
"blank1","fiveto14","non.p20",100,18,93,18,17,93,17,204259377
