"indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"blank1","blank2","ext",100,100,1,100,1,1,1,2773215
"blank1","blank2","female",100,100,51,100,51,51,51,2773215
"blank1","blank2","fifteento49",100,100,51,100,51,51,51,2773215
"blank1","blank2","fiveto14",100,100,19,100,19,19,19,2773215
"blank1","blank2","gt49",100,100,21,100,21,21,21,2773215
"blank1","blank2","higher",100,100,18,100,18,18,18,1544795
"blank1","blank2","male",100,100,49,100,49,49,49,2773215
"blank1","blank2","no.birth.reg",100,100,,100,,,,210791
"blank1","blank2","no.educ",100,100,6,100,6,6,6,1544795
"blank1","blank2","no.skilled.attendant",100,100,81,100,81,81,81,747039
"blank1","blank2","non.p20",100,100,96,100,96,96,96,2773215
"blank1","blank2","p20",100,100,4,100,4,4,4,2773215
"blank1","blank2","primary",100,100,94,100,94,94,94,1544795
"blank1","blank2","rural",100,100,45,100,45,45,45,2773215
"blank1","blank2","secondary",100,100,81,100,81,81,81,1544795
"blank1","blank2","stunted",100,100,,100,,,,210791
"blank1","blank2","under5",100,100,8,100,8,8,8,2773215
"blank1","blank2","urban",100,100,55,100,55,55,55,2773215
"blank1","ext","female",100,1,51,1,1,51,1,2773215
"blank1","ext","fifteento49",100,1,51,1,1,51,1,2773215
"blank1","ext","fiveto14",100,1,19,1,0,19,0,2773215
"blank1","ext","gt49",100,1,21,1,0,21,0,2773215
"blank1","ext","higher",100,1,18,1,0,18,0,1544795
"blank1","ext","male",100,1,49,1,1,49,1,2773215
"blank1","ext","no.birth.reg",100,1,,1,0,,0,210791
"blank1","ext","no.educ",100,1,6,1,0,6,0,1544795
"blank1","ext","no.skilled.attendant",100,1,81,1,1,81,1,747039
"blank1","ext","non.p20",100,1,96,1,0,96,0,2773215
"blank1","ext","p20",100,1,4,1,1,4,1,2773215
"blank1","ext","primary",100,1,94,1,1,94,1,1544795
"blank1","ext","rural",100,1,45,1,1,45,1,2773215
"blank1","ext","secondary",100,1,81,1,1,81,1,1544795
"blank1","ext","stunted",100,1,,1,0,,0,210791
"blank1","ext","under5",100,1,8,1,0,8,0,2773215
"blank1","ext","urban",100,1,55,1,0,55,0,2773215
"blank1","female","fifteento49",100,51,51,51,27,51,27,2773215
"blank1","female","fiveto14",100,51,19,51,10,19,10,2773215
"blank1","female","gt49",100,51,21,51,11,21,11,2773215
"blank1","female","higher",100,52,18,52,12,18,12,1544795
"blank1","female","male",100,51,49,51,0,49,0,2773215
"blank1","female","no.birth.reg",100,48,,48,0,,0,210791
"blank1","female","no.educ",100,52,6,52,3,6,3,1544795
"blank1","female","no.skilled.attendant",100,100,81,100,81,81,81,747039
"blank1","female","non.p20",100,51,96,51,50,96,50,2773215
"blank1","female","p20",100,51,4,51,2,4,2,2773215
"blank1","female","primary",100,52,94,52,49,94,49,1544795
"blank1","female","rural",100,51,45,51,23,45,23,2773215
"blank1","female","secondary",100,52,81,52,43,81,43,1544795
"blank1","female","stunted",100,48,,48,0,,0,210791
"blank1","female","under5",100,51,8,51,4,8,4,2773215
"blank1","female","urban",100,51,55,51,29,55,29,2773215
"blank1","fifteento49","fiveto14",100,51,19,51,0,19,0,2773215
"blank1","fifteento49","gt49",100,51,21,51,0,21,0,2773215
"blank1","fifteento49","higher",100,62,18,62,13,18,13,1544795
"blank1","fifteento49","male",100,51,49,51,25,49,25,2773215
"blank1","fifteento49","no.birth.reg",100,0,,0,0,,0,210791
"blank1","fifteento49","no.educ",100,62,6,62,1,6,1,1544795
"blank1","fifteento49","no.skilled.attendant",100,100,81,100,81,81,81,747039
"blank1","fifteento49","non.p20",100,51,96,51,50,96,50,2773215
"blank1","fifteento49","p20",100,51,4,51,2,4,2,2773215
"blank1","fifteento49","primary",100,62,94,62,61,94,61,1544795
"blank1","fifteento49","rural",100,51,45,51,22,45,22,2773215
"blank1","fifteento49","secondary",100,62,81,62,59,81,59,1544795
"blank1","fifteento49","stunted",100,0,,0,0,,0,210791
"blank1","fifteento49","under5",100,51,8,51,0,8,0,2773215
"blank1","fifteento49","urban",100,51,55,51,29,55,29,2773215
"blank1","fiveto14","gt49",100,19,21,19,0,21,0,2773215
"blank1","fiveto14","higher",100,0,18,0,0,18,0,1544795
"blank1","fiveto14","male",100,19,49,19,9,49,9,2773215
"blank1","fiveto14","no.birth.reg",100,0,,0,0,,0,210791
"blank1","fiveto14","no.educ",100,0,6,0,0,6,0,1544795
"blank1","fiveto14","no.skilled.attendant",100,0,81,0,0,81,0,747039
"blank1","fiveto14","non.p20",100,19,96,19,18,96,18,2773215
"blank1","fiveto14","p20",100,19,4,19,1,4,1,2773215
"blank1","fiveto14","primary",100,0,94,0,0,94,0,1544795
"blank1","fiveto14","rural",100,19,45,19,9,45,9,2773215
"blank1","fiveto14","secondary",100,0,81,0,0,81,0,1544795
"blank1","fiveto14","stunted",100,0,,0,0,,0,210791
"blank1","fiveto14","under5",100,19,8,19,0,8,0,2773215
"blank1","fiveto14","urban",100,19,55,19,10,55,10,2773215
"blank1","gt49","higher",100,38,18,38,5,18,5,1544795
"blank1","gt49","male",100,21,49,21,10,49,10,2773215
"blank1","gt49","no.birth.reg",100,0,,0,0,,0,210791
"blank1","gt49","no.educ",100,38,6,38,6,6,6,1544795
"blank1","gt49","no.skilled.attendant",100,0,81,0,0,81,0,747039
"blank1","gt49","non.p20",100,21,96,21,20,96,20,2773215
"blank1","gt49","p20",100,21,4,21,1,4,1,2773215
"blank1","gt49","primary",100,38,94,38,31,94,31,1544795
"blank1","gt49","rural",100,21,45,21,10,45,10,2773215
"blank1","gt49","secondary",100,38,81,38,21,81,21,1544795
"blank1","gt49","stunted",100,0,,0,0,,0,210791
"blank1","gt49","under5",100,21,8,21,0,8,0,2773215
"blank1","gt49","urban",100,21,55,21,11,55,11,2773215
"blank1","higher","male",100,18,48,18,6,48,6,1544795
"blank1","higher","no.birth.reg",,,,,,,,1544795
"blank1","higher","no.educ",100,18,6,18,0,6,0,1544795
"blank1","higher","no.skilled.attendant",100,27,84,27,24,84,24,483012
"blank1","higher","non.p20",100,18,96,18,18,96,18,1544795
"blank1","higher","p20",100,18,4,18,0,4,0,1544795
"blank1","higher","primary",100,18,94,18,18,94,18,1544795
"blank1","higher","rural",100,18,44,18,5,44,5,1544795
"blank1","higher","secondary",100,18,81,18,18,81,18,1544795
"blank1","higher","stunted",,,,,,,,1544795
"blank1","higher","under5",100,18,0,18,0,0,0,1544795
"blank1","higher","urban",100,18,56,18,13,56,13,1544795
"blank1","male","no.birth.reg",100,52,,52,0,,0,210791
"blank1","male","no.educ",100,48,6,48,4,6,4,1544795
"blank1","male","no.skilled.attendant",100,0,81,0,0,81,0,747039
"blank1","male","non.p20",100,49,96,49,47,96,47,2773215
"blank1","male","p20",100,49,4,49,2,4,2,2773215
"blank1","male","primary",100,48,94,48,43,94,43,1544795
"blank1","male","rural",100,49,45,49,23,45,23,2773215
"blank1","male","secondary",100,48,81,48,37,81,37,1544795
"blank1","male","stunted",100,52,,52,0,,0,210791
"blank1","male","under5",100,49,8,49,4,8,4,2773215
"blank1","male","urban",100,49,55,49,26,55,26,2773215
"blank1","no.birth.reg","no.educ",,,,,,,,1544795
"blank1","no.birth.reg","no.skilled.attendant",,,,,,,,210791
"blank1","no.birth.reg","non.p20",100,,97,,0,97,0,210791
"blank1","no.birth.reg","p20",100,,3,,0,3,0,210791
"blank1","no.birth.reg","primary",,,,,,,,1544795
"blank1","no.birth.reg","rural",100,,46,,0,46,0,210791
"blank1","no.birth.reg","secondary",,,,,,,,1544795
