"indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"blank1","blank2","ext",100,100,0,100,0,0,0,8937605
"blank1","blank2","female",100,100,51,100,51,51,51,8937605
"blank1","blank2","fifteento49",100,100,45,100,45,45,45,8937605
"blank1","blank2","fiveto14",100,100,10,100,10,10,10,8937605
"blank1","blank2","gt49",100,100,40,100,40,40,40,8937605
"blank1","blank2","higher",100,100,23,100,23,23,23,6299712
"blank1","blank2","male",100,100,49,100,49,49,49,8937605
"blank1","blank2","no.birth.reg",100,100,0,100,0,0,0,456144
"blank1","blank2","no.educ",100,100,11,100,11,11,11,6299712
"blank1","blank2","no.skilled.attendant",100,100,90,100,90,90,90,2067139
"blank1","blank2","non.p20",100,100,99,100,99,99,99,8937605
"blank1","blank2","p20",100,100,1,100,1,1,1,8937605
"blank1","blank2","primary",100,100,89,100,89,89,89,6299712
"blank1","blank2","rural",100,100,41,100,41,41,41,8937605
"blank1","blank2","secondary",100,100,72,100,72,72,72,6299712
"blank1","blank2","stunted",100,100,6,100,6,6,6,456144
"blank1","blank2","under5",100,100,5,100,5,5,5,8937605
"blank1","blank2","urban",100,100,59,100,59,59,59,8937605
"blank1","ext","female",100,0,51,0,0,51,0,8937605
"blank1","ext","fifteento49",100,0,45,0,0,45,0,8937605
"blank1","ext","fiveto14",100,0,10,0,0,10,0,8937605
"blank1","ext","gt49",100,0,40,0,0,40,0,8937605
"blank1","ext","higher",100,0,23,0,0,23,0,6299712
"blank1","ext","male",100,0,49,0,0,49,0,8937605
"blank1","ext","no.birth.reg",100,0,0,0,0,0,0,456144
"blank1","ext","no.educ",100,0,11,0,0,11,0,6299712
"blank1","ext","no.skilled.attendant",100,0,90,0,0,90,0,2067139
"blank1","ext","non.p20",100,0,99,0,0,99,0,8937605
"blank1","ext","p20",100,0,1,0,0,1,0,8937605
"blank1","ext","primary",100,0,89,0,0,89,0,6299712
"blank1","ext","rural",100,0,41,0,0,41,0,8937605
"blank1","ext","secondary",100,0,72,0,0,72,0,6299712
"blank1","ext","stunted",100,0,6,0,0,6,0,456144
"blank1","ext","under5",100,0,5,0,0,5,0,8937605
"blank1","ext","urban",100,0,59,0,0,59,0,8937605
"blank1","female","fifteento49",100,51,45,51,22,45,22,8937605
"blank1","female","fiveto14",100,51,10,51,5,10,5,8937605
"blank1","female","gt49",100,51,40,51,22,40,22,8937605
"blank1","female","higher",100,52,23,52,12,23,12,6299712
"blank1","female","male",100,51,49,51,0,49,0,8937605
"blank1","female","no.birth.reg",100,49,0,49,0,0,0,456144
"blank1","female","no.educ",100,52,11,52,8,11,8,6299712
"blank1","female","no.skilled.attendant",100,100,90,100,90,90,90,2067139
"blank1","female","non.p20",100,51,99,51,51,99,51,8937605
"blank1","female","p20",100,51,1,51,0,1,0,8937605
"blank1","female","primary",100,52,89,52,44,89,44,6299712
"blank1","female","rural",100,51,41,51,21,41,21,8937605
"blank1","female","secondary",100,52,72,52,35,72,35,6299712
"blank1","female","stunted",100,49,6,49,2,6,2,456144
"blank1","female","under5",100,51,5,51,2,5,2,8937605
"blank1","female","urban",100,51,59,51,31,59,31,8937605
"blank1","fifteento49","fiveto14",100,45,10,45,0,10,0,8937605
"blank1","fifteento49","gt49",100,45,40,45,0,40,0,8937605
"blank1","fifteento49","higher",100,45,23,45,13,23,13,6299712
"blank1","fifteento49","male",100,45,49,45,23,49,23,8937605
"blank1","fifteento49","no.birth.reg",100,0,0,0,0,0,0,456144
"blank1","fifteento49","no.educ",100,45,11,45,1,11,1,6299712
"blank1","fifteento49","no.skilled.attendant",100,100,90,100,90,90,90,2067139
"blank1","fifteento49","non.p20",100,45,99,45,44,99,44,8937605
"blank1","fifteento49","p20",100,45,1,45,0,1,0,8937605
"blank1","fifteento49","primary",100,45,89,45,45,89,45,6299712
"blank1","fifteento49","rural",100,45,41,45,18,41,18,8937605
"blank1","fifteento49","secondary",100,45,72,45,40,72,40,6299712
"blank1","fifteento49","stunted",100,0,6,0,0,6,0,456144
"blank1","fifteento49","under5",100,45,5,45,0,5,0,8937605
"blank1","fifteento49","urban",100,45,59,45,27,59,27,8937605
"blank1","fiveto14","gt49",100,10,40,10,0,40,0,8937605
"blank1","fiveto14","higher",100,0,23,0,0,23,0,6299712
"blank1","fiveto14","male",100,10,49,10,5,49,5,8937605
"blank1","fiveto14","no.birth.reg",100,0,0,0,0,0,0,456144
"blank1","fiveto14","no.educ",100,0,11,0,0,11,0,6299712
"blank1","fiveto14","no.skilled.attendant",100,0,90,0,0,90,0,2067139
"blank1","fiveto14","non.p20",100,10,99,10,10,99,10,8937605
"blank1","fiveto14","p20",100,10,1,10,0,1,0,8937605
"blank1","fiveto14","primary",100,0,89,0,0,89,0,6299712
"blank1","fiveto14","rural",100,10,41,10,4,41,4,8937605
"blank1","fiveto14","secondary",100,0,72,0,0,72,0,6299712
"blank1","fiveto14","stunted",100,0,6,0,0,6,0,456144
"blank1","fiveto14","under5",100,10,5,10,0,5,0,8937605
"blank1","fiveto14","urban",100,10,59,10,6,59,6,8937605
"blank1","gt49","higher",100,55,23,55,10,23,10,6299712
"blank1","gt49","male",100,40,49,40,19,49,19,8937605
"blank1","gt49","no.birth.reg",100,0,0,0,0,0,0,456144
"blank1","gt49","no.educ",100,55,11,55,10,11,10,6299712
"blank1","gt49","no.skilled.attendant",100,0,90,0,0,90,0,2067139
"blank1","gt49","non.p20",100,40,99,40,40,99,40,8937605
"blank1","gt49","p20",100,40,1,40,0,1,0,8937605
"blank1","gt49","primary",100,55,89,55,45,89,45,6299712
"blank1","gt49","rural",100,40,41,40,17,41,17,8937605
"blank1","gt49","secondary",100,55,72,55,32,72,32,6299712
"blank1","gt49","stunted",100,0,6,0,0,6,0,456144
"blank1","gt49","under5",100,40,5,40,0,5,0,8937605
"blank1","gt49","urban",100,40,59,40,23,59,23,8937605
"blank1","higher","male",100,23,48,23,11,48,11,6299712
"blank1","higher","no.birth.reg",,,,,,,,6299712
"blank1","higher","no.educ",100,23,11,23,0,11,0,6299712
"blank1","higher","no.skilled.attendant",100,34,90,34,30,90,30,1510817
"blank1","higher","non.p20",100,23,99,23,23,99,23,6299712
"blank1","higher","p20",100,23,1,23,0,1,0,6299712
"blank1","higher","primary",100,23,89,23,23,89,23,6299712
"blank1","higher","rural",100,23,41,23,5,41,5,6299712
"blank1","higher","secondary",100,23,72,23,23,72,23,6299712
"blank1","higher","stunted",,,,,,,,6299712
"blank1","higher","under5",100,23,0,23,0,0,0,6299712
"blank1","higher","urban",100,23,59,23,18,59,18,6299712
"blank1","male","no.birth.reg",100,51,0,51,0,0,0,456144
"blank1","male","no.educ",100,48,11,48,3,11,3,6299712
"blank1","male","no.skilled.attendant",100,0,90,0,0,90,0,2067139
"blank1","male","non.p20",100,49,99,49,49,99,49,8937605
"blank1","male","p20",100,49,1,49,0,1,0,8937605
"blank1","male","primary",100,48,89,48,45,89,45,6299712
"blank1","male","rural",100,49,41,49,20,41,20,8937605
"blank1","male","secondary",100,48,72,48,37,72,37,6299712
"blank1","male","stunted",100,51,6,51,3,6,3,456144
"blank1","male","under5",100,49,5,49,2,5,2,8937605
"blank1","male","urban",100,49,59,49,28,59,28,8937605
"blank1","no.birth.reg","no.educ",,,,,,,,6299712
"blank1","no.birth.reg","no.skilled.attendant",,,,,,,,456144
"blank1","no.birth.reg","non.p20",100,0,99,0,0,99,0,456144
"blank1","no.birth.reg","p20",100,0,1,0,0,1,0,456144
"blank1","no.birth.reg","primary",,,,,,,,6299712
"blank1","no.birth.reg","rural",100,0,37,0,0,37,0,456144
"blank1","no.birth.reg","secondary",,,,,,,,6299712
"blank1","no.birth.reg","stunted",100,0,6,0,0,6,0,456144
"blank1","no.birth.reg","under5",100,0,100,0,0,100,0,456144
"blank1","no.birth.reg","urban",100,0,63,0,0,63,0,456144
"blank1","no.educ","no.skilled.attendant",100,1,90,1,1,90,1,1510817
"blank1","no.educ","non.p20",100,11,99,11,10,99,10,6299712
"blank1","no.educ","p20",100,11,1,11,0,1,0,6299712
"blank1","no.educ","primary",100,11,89,11,0,89,0,6299712
"blank1","no.educ","rural",100,11,41,11,7,41,7,6299712
"blank1","no.educ","secondary",100,11,72,11,0,72,0,6299712
"blank1","no.educ","stunted",,,,,,,,6299712
"blank1","no.educ","under5",100,11,0,11,0,0,0,6299712
"blank1","no.educ","urban",100,11,59,11,4,59,4,6299712
"blank1","no.skilled.attendant","non.p20",100,90,99,90,90,99,90,2067139
"blank1","no.skilled.attendant","p20",100,90,1,90,0,1,0,2067139
"blank1","no.skilled.attendant","primary",100,90,99,90,88,99,88,1510817
"blank1","no.skilled.attendant","rural",100,90,39,90,35,39,35,2067139
"blank1","no.skilled.attendant","secondary",100,90,88,90,79,88,79,1510817
"blank1","no.skilled.attendant","stunted",,,,,,,,456144
"blank1","no.skilled.attendant","under5",100,90,0,90,0,0,0,2067139
"blank1","no.skilled.attendant","urban",100,90,61,90,56,61,56,2067139
"blank1","non.p20","p20",100,99,1,99,0,1,0,8937605
"blank1","non.p20","primary",100,99,89,99,89,89,89,6299712
"blank1","non.p20","rural",100,99,41,99,41,41,41,8937605
"blank1","non.p20","secondary",100,99,72,99,72,72,72,6299712
"blank1","non.p20","stunted",100,99,6,99,6,6,6,456144
"blank1","non.p20","under5",100,99,5,99,5,5,5,8937605
"blank1","non.p20","urban",100,99,59,99,59,59,59,8937605
"blank1","p20","primary",100,1,89,1,0,89,0,6299712
"blank1","p20","rural",100,1,41,1,0,41,0,8937605
"blank1","p20","secondary",100,1,72,1,0,72,0,6299712
"blank1","p20","stunted",100,1,6,1,0,6,0,456144
"blank1","p20","under5",100,1,5,1,0,5,0,8937605
"blank1","p20","urban",100,1,59,1,0,59,0,8937605
"blank1","primary","rural",100,89,41,89,34,41,34,6299712
"blank1","primary","secondary",100,89,72,89,72,72,72,6299712
"blank1","primary","stunted",,,,,,,,6299712
"blank1","primary","under5",100,89,0,89,0,0,0,6299712
"blank1","primary","urban",100,89,59,89,55,59,55,6299712
"blank1","rural","secondary",100,41,72,41,24,72,24,6299712
"blank1","rural","stunted",100,37,6,37,2,6,2,456144
"blank1","rural","under5",100,41,5,41,2,5,2,8937605
"blank1","rural","urban",100,41,59,41,0,59,0,8937605
"blank1","secondary","stunted",,,,,,,,6299712
"blank1","secondary","under5",100,72,0,72,0,0,0,6299712
"blank1","secondary","urban",100,72,59,72,48,59,48,6299712
"blank1","stunted","under5",100,6,100,6,6,100,6,456144
"blank1","stunted","urban",100,6,63,6,4,63,4,456144
"blank1","under5","urban",100,5,59,5,3,59,3,8937605
"blank2","ext","female",100,0,51,0,0,51,0,8937605
"blank2","ext","fifteento49",100,0,45,0,0,45,0,8937605
"blank2","ext","fiveto14",100,0,10,0,0,10,0,8937605
"blank2","ext","gt49",100,0,40,0,0,40,0,8937605
"blank2","ext","higher",100,0,23,0,0,23,0,6299712
"blank2","ext","male",100,0,49,0,0,49,0,8937605
"blank2","ext","no.birth.reg",100,0,0,0,0,0,0,456144
"blank2","ext","no.educ",100,0,11,0,0,11,0,6299712
"blank2","ext","no.skilled.attendant",100,0,90,0,0,90,0,2067139
"blank2","ext","non.p20",100,0,99,0,0,99,0,8937605
"blank2","ext","p20",100,0,1,0,0,1,0,8937605
