"indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"blank1","blank2","ext",100,100,1,100,1,1,1,19322593
"blank1","blank2","female",100,100,48,100,48,48,48,19322593
"blank1","blank2","fifteento49",100,100,0,100,0,0,0,19322593
"blank1","blank2","fiveto14",100,100,5,100,5,5,5,19322593
"blank1","blank2","gt49",100,100,0,100,0,0,0,19322593
"blank1","blank2","higher",100,100,0,100,0,0,0,8464772
"blank1","blank2","male",100,100,52,100,52,52,52,19322593
"blank1","blank2","no.birth.reg",100,100,4,100,4,4,4,2350597
"blank1","blank2","no.educ",100,100,50,100,50,50,50,8464772
"blank1","blank2","no.skilled.attendant",100,100,18,100,18,18,18,4883448
"blank1","blank2","non.p20",100,100,94,100,94,94,94,19322593
"blank1","blank2","p20",100,100,6,100,6,6,6,19322593
"blank1","blank2","primary",100,100,50,100,50,50,50,8464772
"blank1","blank2","rural",100,100,47,100,47,47,47,19322593
"blank1","blank2","secondary",100,100,50,100,50,50,50,8464772
"blank1","blank2","stunted",100,100,,100,,,,2350597
"blank1","blank2","under5",100,100,95,100,95,95,95,19322593
"blank1","blank2","urban",100,100,53,100,53,53,53,19322593
"blank1","ext","female",100,1,48,1,1,48,1,19322593
"blank1","ext","fifteento49",100,1,0,1,0,0,0,19322593
"blank1","ext","fiveto14",100,1,5,1,0,5,0,19322593
"blank1","ext","gt49",100,1,0,1,0,0,0,19322593
"blank1","ext","higher",100,0,0,0,0,0,0,8464772
"blank1","ext","male",100,1,52,1,1,52,1,19322593
"blank1","ext","no.birth.reg",100,1,4,1,0,4,0,2350597
"blank1","ext","no.educ",100,0,50,0,0,50,0,8464772
"blank1","ext","no.skilled.attendant",100,0,18,0,0,18,0,4883448
"blank1","ext","non.p20",100,1,94,1,0,94,0,19322593
"blank1","ext","p20",100,1,6,1,1,6,1,19322593
"blank1","ext","primary",100,0,50,0,0,50,0,8464772
"blank1","ext","rural",100,1,47,1,1,47,1,19322593
"blank1","ext","secondary",100,0,50,0,0,50,0,8464772
"blank1","ext","stunted",100,1,,1,0,,0,2350597
"blank1","ext","under5",100,1,95,1,1,95,1,19322593
"blank1","ext","urban",100,1,53,1,0,53,0,19322593
"blank1","female","fifteento49",100,48,0,48,0,0,0,19322593
"blank1","female","fiveto14",100,48,5,48,5,5,5,19322593
"blank1","female","gt49",100,48,0,48,0,0,0,19322593
"blank1","female","higher",100,100,0,100,0,0,0,8464772
"blank1","female","male",100,48,52,48,0,52,0,19322593
"blank1","female","no.birth.reg",100,46,4,46,0,4,0,2350597
"blank1","female","no.educ",100,100,50,100,50,50,50,8464772
"blank1","female","no.skilled.attendant",100,100,18,100,18,18,18,4883448
"blank1","female","non.p20",100,48,94,48,45,94,45,19322593
"blank1","female","p20",100,48,6,48,3,6,3,19322593
"blank1","female","primary",100,100,50,100,50,50,50,8464772
"blank1","female","rural",100,48,47,48,23,47,23,19322593
"blank1","female","secondary",100,100,50,100,50,50,50,8464772
"blank1","female","stunted",100,46,,46,0,,0,2350597
"blank1","female","under5",100,48,95,48,43,95,43,19322593
"blank1","female","urban",100,48,53,48,25,53,25,19322593
"blank1","fifteento49","fiveto14",100,0,5,0,0,5,0,19322593
"blank1","fifteento49","gt49",100,0,0,0,0,0,0,19322593
