"indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"blank1","blank2","ext",100,100,60,100,60,60,60,15246086
"blank1","blank2","female",100,100,51,100,51,51,51,15246086
"blank1","blank2","fifteento49",100,100,42,100,42,42,42,15246086
"blank1","blank2","fiveto14",100,100,32,100,32,32,32,15246086
"blank1","blank2","gt49",100,100,9,100,9,9,9,15246086
"blank1","blank2","higher",100,100,8,100,8,8,8,5122979
"blank1","blank2","male",100,100,49,100,49,49,49,15246086
"blank1","blank2","no.birth.reg",100,100,88,100,88,88,88,2732147
"blank1","blank2","no.educ",100,100,42,100,42,42,42,5122979
"blank1","blank2","no.skilled.attendant",100,100,50,100,50,50,50,3476200
"blank1","blank2","non.p20",100,100,29,100,29,29,29,15246086
"blank1","blank2","p20",100,100,71,100,71,71,71,15246086
"blank1","blank2","primary",100,100,58,100,58,58,58,5122979
"blank1","blank2","rural",100,100,61,100,61,61,61,15246086
"blank1","blank2","secondary",100,100,17,100,17,17,17,5122979
"blank1","blank2","stunted",100,100,35,100,35,35,35,2732147
"blank1","blank2","under5",100,100,17,100,17,17,17,15246086
"blank1","blank2","urban",100,100,39,100,39,39,39,15246086
"blank1","ext","female",100,60,51,60,31,51,31,15246086
"blank1","ext","fifteento49",100,60,42,60,23,42,23,15246086
"blank1","ext","fiveto14",100,60,32,60,21,32,21,15246086
"blank1","ext","gt49",100,60,9,60,6,9,6,15246086
"blank1","ext","higher",100,58,8,58,0,8,0,5122979
"blank1","ext","male",100,60,49,60,30,49,30,15246086
"blank1","ext","no.birth.reg",100,68,88,68,63,88,63,2732147
"blank1","ext","no.educ",100,58,42,58,35,42,35,5122979
"blank1","ext","no.skilled.attendant",100,54,50,54,28,50,28,3476200
"blank1","ext","non.p20",100,60,29,60,0,29,0,15246086
"blank1","ext","p20",100,60,71,60,60,71,60,15246086
"blank1","ext","primary",100,58,58,58,22,58,22,5122979
"blank1","ext","rural",100,60,61,60,54,61,54,15246086
"blank1","ext","secondary",100,58,17,58,2,17,2,5122979
"blank1","ext","stunted",100,68,35,68,24,35,24,2732147
"blank1","ext","under5",100,60,17,60,11,17,11,15246086
"blank1","ext","urban",100,60,39,60,7,39,7,15246086
"blank1","female","fifteento49",100,51,42,51,22,42,22,15246086
"blank1","female","fiveto14",100,51,32,51,16,32,16,15246086
"blank1","female","gt49",100,51,9,51,5,9,5,15246086
"blank1","female","higher",100,53,8,53,3,8,3,5122979
"blank1","female","male",100,51,49,51,0,49,0,15246086
"blank1","female","no.birth.reg",100,49,88,49,43,88,43,2732147
"blank1","female","no.educ",100,53,42,53,27,42,27,5122979
"blank1","female","no.skilled.attendant",100,100,50,100,50,50,50,3476200
"blank1","female","non.p20",100,51,29,51,15,29,15,15246086
"blank1","female","p20",100,51,71,51,36,71,36,15246086
"blank1","female","primary",100,53,58,53,26,58,26,5122979
"blank1","female","rural",100,51,61,51,31,61,31,15246086
"blank1","female","secondary",100,53,17,53,6,17,6,5122979
"blank1","female","stunted",100,49,35,49,15,35,15,2732147
"blank1","female","under5",100,51,17,51,8,17,8,15246086
"blank1","female","urban",100,51,39,51,20,39,20,15246086
