"indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"blank1","blank2","ext",100,100,45,100,45,45,45,17084554
"blank1","blank2","female",100,100,51,100,51,51,51,17084554
"blank1","blank2","fifteento49",100,100,42,100,42,42,42,17084554
"blank1","blank2","fiveto14",100,100,30,100,30,30,30,17084554
"blank1","blank2","gt49",100,100,10,100,10,10,10,17084554
"blank1","blank2","higher",100,100,,100,,,,5837191
"blank1","blank2","male",100,100,49,100,49,49,49,17084554
"blank1","blank2","no.birth.reg",100,100,,100,,,,3039202
"blank1","blank2","no.educ",100,100,,100,,,,5837191
"blank1","blank2","no.skilled.attendant",100,100,,100,,,,3923003
"blank1","blank2","non.p20",100,100,35,100,35,35,35,17084554
"blank1","blank2","p20",100,100,65,100,65,65,65,17084554
"blank1","blank2","primary",100,100,,100,,,,5837191
"blank1","blank2","rural",100,100,74,100,74,74,74,17084554
"blank1","blank2","secondary",100,100,,100,,,,5837191
"blank1","blank2","stunted",100,100,,100,,,,3039202
"blank1","blank2","under5",100,100,18,100,18,18,18,17084554
"blank1","blank2","urban",100,100,26,100,26,26,26,17084554
"blank1","ext","female",100,45,51,45,23,51,23,17084554
"blank1","ext","fifteento49",100,45,42,45,17,42,17,17084554
"blank1","ext","fiveto14",100,45,30,45,15,30,15,17084554
"blank1","ext","gt49",100,45,10,45,5,10,5,17084554
"blank1","ext","higher",100,44,,44,0,,0,5837191
"blank1","ext","male",100,45,49,45,22,49,22,17084554
"blank1","ext","no.birth.reg",100,47,,47,0,,0,3039202
"blank1","ext","no.educ",100,44,,44,0,,0,5837191
"blank1","ext","no.skilled.attendant",100,41,,41,0,,0,3923003
"blank1","ext","non.p20",100,45,35,45,0,35,0,17084554
"blank1","ext","p20",100,45,65,45,45,65,45,17084554
"blank1","ext","primary",100,44,,44,0,,0,5837191
"blank1","ext","rural",100,45,74,45,44,74,44,17084554
"blank1","ext","secondary",100,44,,44,0,,0,5837191
"blank1","ext","stunted",100,47,,47,0,,0,3039202
"blank1","ext","under5",100,45,18,45,8,18,8,17084554
"blank1","ext","urban",100,45,26,45,1,26,1,17084554
"blank1","female","fifteento49",100,51,42,51,22,42,22,17084554
"blank1","female","fiveto14",100,51,30,51,15,30,15,17084554
