"indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"blank1","blank2","ext",100,100,75,100,75,75,75,10465959
"blank1","blank2","female",100,100,53,100,53,53,53,10465959
"blank1","blank2","fifteento49",100,100,43,100,43,43,43,10465959
"blank1","blank2","fiveto14",100,100,28,100,28,28,28,10465959
"blank1","blank2","gt49",100,100,10,100,10,10,10,10465959
"blank1","blank2","higher",100,100,2,100,2,2,2,3711638
"blank1","blank2","male",100,100,47,100,47,47,47,10465959
"blank1","blank2","no.birth.reg",100,100,24,100,24,24,24,1941234
"blank1","blank2","no.educ",100,100,78,100,78,78,78,3711638
"blank1","blank2","no.skilled.attendant",100,100,57,100,57,57,57,2474018
"blank1","blank2","non.p20",100,100,13,100,13,13,13,10465959
"blank1","blank2","p20",100,100,87,100,87,87,87,10465959
"blank1","blank2","primary",100,100,22,100,22,22,22,3711638
"blank1","blank2","rural",100,100,90,100,90,90,90,10465959
"blank1","blank2","secondary",100,100,2,100,2,2,2,3711638
"blank1","blank2","stunted",100,100,51,100,51,51,51,1941234
"blank1","blank2","under5",100,100,18,100,18,18,18,10465959
"blank1","blank2","urban",100,100,10,100,10,10,10,10465959
"blank1","ext","female",100,75,53,75,40,53,40,10465959
"blank1","ext","fifteento49",100,75,43,75,31,43,31,10465959
"blank1","ext","fiveto14",100,75,28,75,22,28,22,10465959
"blank1","ext","gt49",100,75,10,75,8,10,8,10465959
"blank1","ext","higher",100,75,2,75,0,2,0,3711638
"blank1","ext","male",100,75,47,75,35,47,35,10465959
"blank1","ext","no.birth.reg",100,77,24,77,21,24,21,1941234
"blank1","ext","no.educ",100,75,78,75,66,78,66,3711638
"blank1","ext","no.skilled.attendant",100,75,57,75,46,57,46,2474018
"blank1","ext","non.p20",100,75,13,75,0,13,0,10465959
"blank1","ext","p20",100,75,87,75,75,87,75,10465959
"blank1","ext","primary",100,75,22,75,10,22,10,3711638
"blank1","ext","rural",100,75,90,75,74,90,74,10465959
"blank1","ext","secondary",100,75,2,75,0,2,0,3711638
"blank1","ext","stunted",100,77,51,77,33,51,33,1941234
"blank1","ext","under5",100,75,18,75,14,18,14,10465959
"blank1","ext","urban",100,75,10,75,1,10,1,10465959
"blank1","female","fifteento49",100,53,43,53,24,43,24,10465959
"blank1","female","fiveto14",100,53,28,53,15,28,15,10465959
"blank1","female","gt49",100,53,10,53,5,10,5,10465959
"blank1","female","higher",100,54,2,54,1,2,1,3711638
"blank1","female","male",100,53,47,53,0,47,0,10465959
"blank1","female","no.birth.reg",100,50,24,50,12,24,12,1941234
"blank1","female","no.educ",100,54,78,54,45,78,45,3711638
"blank1","female","no.skilled.attendant",100,100,57,100,57,57,57,2474018
"blank1","female","non.p20",100,53,13,53,7,13,7,10465959
"blank1","female","p20",100,53,87,53,46,87,46,10465959
"blank1","female","primary",100,54,22,54,9,22,9,3711638
"blank1","female","rural",100,53,90,53,48,90,48,10465959
"blank1","female","secondary",100,54,2,54,1,2,1,3711638
"blank1","female","stunted",100,50,51,50,15,51,15,1941234
"blank1","female","under5",100,53,18,53,9,18,9,10465959
"blank1","female","urban",100,53,10,53,5,10,5,10465959
"blank1","fifteento49","fiveto14",100,43,28,43,0,28,0,10465959
"blank1","fifteento49","gt49",100,43,10,43,0,10,0,10465959
"blank1","fifteento49","higher",100,70,2,70,2,2,2,3711638
"blank1","fifteento49","male",100,43,47,43,20,47,20,10465959
"blank1","fifteento49","no.birth.reg",100,0,24,0,0,24,0,1941234
"blank1","fifteento49","no.educ",100,70,78,70,51,78,51,3711638
"blank1","fifteento49","no.skilled.attendant",100,100,57,100,57,57,57,2474018
"blank1","fifteento49","non.p20",100,43,13,43,7,13,7,10465959
"blank1","fifteento49","p20",100,43,87,43,36,87,36,10465959
"blank1","fifteento49","primary",100,70,22,70,19,22,19,3711638
"blank1","fifteento49","rural",100,43,90,43,38,90,38,10465959
"blank1","fifteento49","secondary",100,70,2,70,2,2,2,3711638
"blank1","fifteento49","stunted",100,0,51,0,0,51,0,1941234
"blank1","fifteento49","under5",100,43,18,43,0,18,0,10465959
"blank1","fifteento49","urban",100,43,10,43,5,10,5,10465959
"blank1","fiveto14","gt49",100,28,10,28,0,10,0,10465959
"blank1","fiveto14","higher",100,0,2,0,0,2,0,3711638
"blank1","fiveto14","male",100,28,47,28,14,47,14,10465959
"blank1","fiveto14","no.birth.reg",100,0,24,0,0,24,0,1941234
"blank1","fiveto14","no.educ",100,0,78,0,0,78,0,3711638
"blank1","fiveto14","no.skilled.attendant",100,0,57,0,0,57,0,2474018
"blank1","fiveto14","non.p20",100,28,13,28,3,13,3,10465959
"blank1","fiveto14","p20",100,28,87,28,25,87,25,10465959
"blank1","fiveto14","primary",100,0,22,0,0,22,0,3711638
"blank1","fiveto14","rural",100,28,90,28,26,90,26,10465959
"blank1","fiveto14","secondary",100,0,2,0,0,2,0,3711638
"blank1","fiveto14","stunted",100,0,51,0,0,51,0,1941234
"blank1","fiveto14","under5",100,28,18,28,0,18,0,10465959
"blank1","fiveto14","urban",100,28,10,28,2,10,2,10465959
"blank1","gt49","higher",100,30,2,30,0,2,0,3711638
"blank1","gt49","male",100,10,47,10,5,47,5,10465959
"blank1","gt49","no.birth.reg",100,0,24,0,0,24,0,1941234
"blank1","gt49","no.educ",100,30,78,30,27,78,27,3711638
"blank1","gt49","no.skilled.attendant",100,0,57,0,0,57,0,2474018
"blank1","gt49","non.p20",100,10,13,10,1,13,1,10465959
"blank1","gt49","p20",100,10,87,10,9,87,9,10465959
"blank1","gt49","primary",100,30,22,30,3,22,3,3711638
"blank1","gt49","rural",100,10,90,10,9,90,9,10465959
"blank1","gt49","secondary",100,30,2,30,0,2,0,3711638
"blank1","gt49","stunted",100,0,51,0,0,51,0,1941234
"blank1","gt49","under5",100,10,18,10,0,18,0,10465959
"blank1","gt49","urban",100,10,10,10,1,10,1,10465959
"blank1","higher","male",100,2,46,2,1,46,1,3711638
"blank1","higher","no.birth.reg",,,,,,,,3711638
"blank1","higher","no.educ",100,2,78,2,0,78,0,3711638
"blank1","higher","no.skilled.attendant",100,1,55,1,1,55,1,1397905
"blank1","higher","non.p20",100,2,14,2,2,14,2,3711638
"blank1","higher","p20",100,2,86,2,0,86,0,3711638
"blank1","higher","primary",100,2,22,2,2,22,2,3711638
"blank1","higher","rural",100,2,89,2,0,89,0,3711638
"blank1","higher","secondary",100,2,2,2,2,2,2,3711638
"blank1","higher","stunted",,,,,,,,3711638
"blank1","higher","under5",100,2,0,2,0,0,0,3711638
"blank1","higher","urban",100,2,11,2,2,11,2,3711638
"blank1","male","no.birth.reg",100,50,24,50,12,24,12,1941234
"blank1","male","no.educ",100,46,78,46,33,78,33,3711638
"blank1","male","no.skilled.attendant",100,0,57,0,0,57,0,2474018
"blank1","male","non.p20",100,47,13,47,7,13,7,10465959
"blank1","male","p20",100,47,87,47,41,87,41,10465959
"blank1","male","primary",100,46,22,46,13,22,13,3711638
"blank1","male","rural",100,47,90,47,42,90,42,10465959
"blank1","male","secondary",100,46,2,46,2,2,2,3711638
"blank1","male","stunted",100,50,51,50,18,51,18,1941234
"blank1","male","under5",100,47,18,47,9,18,9,10465959
"blank1","male","urban",100,47,10,47,5,10,5,10465959
