"indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"blank1","blank2","ext",100,100,7,100,7,7,7,510000
"blank1","blank2","female",100,100,,100,,,,510000
"blank1","blank2","fifteento49",100,100,,100,,,,510000
"blank1","blank2","fiveto14",100,100,,100,,,,510000
"blank1","blank2","gt49",100,100,,100,,,,510000
"blank1","blank2","higher",,,,,,,,510000
"blank1","blank2","male",100,100,,100,,,,510000
"blank1","blank2","no.birth.reg",,,,,,,,510000
"blank1","blank2","no.educ",,,,,,,,510000
"blank1","blank2","no.skilled.attendant",,,,,,,,510000
"blank1","blank2","non.p20",100,100,85,100,85,85,85,510000
"blank1","blank2","p20",100,100,15,100,15,15,15,510000
"blank1","blank2","primary",,,,,,,,510000
"blank1","blank2","rural",100,100,,100,,,,510000
"blank1","blank2","secondary",,,,,,,,510000
"blank1","blank2","stunted",,,,,,,,510000
"blank1","blank2","under5",100,100,,100,,,,510000
"blank1","blank2","urban",100,100,,100,,,,510000
"blank1","ext","female",100,7,,7,,,,510000
"blank1","ext","fifteento49",100,7,,7,,,,510000
"blank1","ext","fiveto14",100,7,,7,,,,510000
"blank1","ext","gt49",100,7,,7,,,,510000
"blank1","ext","higher",,,,,,,,510000
"blank1","ext","male",100,7,,7,,,,510000
"blank1","ext","no.birth.reg",,,,,,,,510000
"blank1","ext","no.educ",,,,,,,,510000
"blank1","ext","no.skilled.attendant",,,,,,,,510000
"blank1","ext","non.p20",100,7,85,7,0,85,0,510000
"blank1","ext","p20",100,7,15,7,7,15,7,510000
"blank1","ext","primary",,,,,,,,510000
"blank1","ext","rural",100,7,,7,,,,510000
"blank1","ext","secondary",,,,,,,,510000
"blank1","ext","stunted",,,,,,,,510000
"blank1","ext","under5",100,7,,7,,,,510000
"blank1","ext","urban",100,7,,7,,,,510000
"blank1","female","fifteento49",100,,,,,,,510000
"blank1","female","fiveto14",100,,,,,,,510000
"blank1","female","gt49",100,,,,,,,510000
"blank1","female","higher",,,,,,,,510000
"blank1","female","male",100,,,,,,,510000
"blank1","female","no.birth.reg",,,,,,,,510000
"blank1","female","no.educ",,,,,,,,510000
"blank1","female","no.skilled.attendant",,,,,,,,510000
"blank1","female","non.p20",100,,85,,,85,,510000
"blank1","female","p20",100,,15,,,15,,510000
"blank1","female","primary",,,,,,,,510000
"blank1","female","rural",100,,,,,,,510000
"blank1","female","secondary",,,,,,,,510000
"blank1","female","stunted",,,,,,,,510000
"blank1","female","under5",100,,,,,,,510000
"blank1","female","urban",100,,,,,,,510000
"blank1","fifteento49","fiveto14",100,,,,,,,510000
"blank1","fifteento49","gt49",100,,,,,,,510000
"blank1","fifteento49","higher",,,,,,,,510000
"blank1","fifteento49","male",100,,,,,,,510000
"blank1","fifteento49","no.birth.reg",,,,,,,,510000
"blank1","fifteento49","no.educ",,,,,,,,510000
"blank1","fifteento49","no.skilled.attendant",,,,,,,,510000
"blank1","fifteento49","non.p20",100,,85,,,85,,510000
"blank1","fifteento49","p20",100,,15,,,15,,510000
"blank1","fifteento49","primary",,,,,,,,510000
"blank1","fifteento49","rural",100,,,,,,,510000
"blank1","fifteento49","secondary",,,,,,,,510000
"blank1","fifteento49","stunted",,,,,,,,510000
"blank1","fifteento49","under5",100,,,,,,,510000
"blank1","fifteento49","urban",100,,,,,,,510000
"blank1","fiveto14","gt49",100,,,,,,,510000
"blank1","fiveto14","higher",,,,,,,,510000
"blank1","fiveto14","male",100,,,,,,,510000
"blank1","fiveto14","no.birth.reg",,,,,,,,510000
"blank1","fiveto14","no.educ",,,,,,,,510000
"blank1","fiveto14","no.skilled.attendant",,,,,,,,510000
"blank1","fiveto14","non.p20",100,,85,,,85,,510000
"blank1","fiveto14","p20",100,,15,,,15,,510000
"blank1","fiveto14","primary",,,,,,,,510000
"blank1","fiveto14","rural",100,,,,,,,510000
"blank1","fiveto14","secondary",,,,,,,,510000
"blank1","fiveto14","stunted",,,,,,,,510000
"blank1","fiveto14","under5",100,,,,,,,510000
"blank1","fiveto14","urban",100,,,,,,,510000
"blank1","gt49","higher",,,,,,,,510000
"blank1","gt49","male",100,,,,,,,510000
"blank1","gt49","no.birth.reg",,,,,,,,510000
"blank1","gt49","no.educ",,,,,,,,510000
"blank1","gt49","no.skilled.attendant",,,,,,,,510000
"blank1","gt49","non.p20",100,,85,,,85,,510000
"blank1","gt49","p20",100,,15,,,15,,510000
"blank1","gt49","primary",,,,,,,,510000
"blank1","gt49","rural",100,,,,,,,510000
"blank1","gt49","secondary",,,,,,,,510000
"blank1","gt49","stunted",,,,,,,,510000
"blank1","gt49","under5",100,,,,,,,510000
"blank1","gt49","urban",100,,,,,,,510000
"blank1","higher","male",,,,,,,,510000
"blank1","higher","no.birth.reg",,,,,,,,510000
"blank1","higher","no.educ",,,,,,,,510000
"blank1","higher","no.skilled.attendant",,,,,,,,510000
"blank1","higher","non.p20",,,,,,,,510000
"blank1","higher","p20",,,,,,,,510000
"blank1","higher","primary",,,,,,,,510000
"blank1","higher","rural",,,,,,,,510000
"blank1","higher","secondary",,,,,,,,510000
"blank1","higher","stunted",,,,,,,,510000
"blank1","higher","under5",,,,,,,,510000
"blank1","higher","urban",,,,,,,,510000
"blank1","male","no.birth.reg",,,,,,,,510000
"blank1","male","no.educ",,,,,,,,510000
"blank1","male","no.skilled.attendant",,,,,,,,510000
