"indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"blank1","blank2","ext",100,100,45,100,45,45,45,1866878
"blank1","blank2","female",100,100,52,100,52,52,52,1866878
"blank1","blank2","fifteento49",100,100,44,100,44,44,44,1866878
"blank1","blank2","fiveto14",100,100,28,100,28,28,28,1866878
"blank1","blank2","gt49",100,100,11,100,11,11,11,1866878
"blank1","blank2","higher",100,100,6,100,6,6,6,637494
"blank1","blank2","male",100,100,48,100,48,48,48,1866878
"blank1","blank2","no.birth.reg",100,100,26,100,26,26,26,346272
"blank1","blank2","no.educ",100,100,68,100,68,68,68,637494
"blank1","blank2","no.skilled.attendant",100,100,39,100,39,39,39,439525
"blank1","blank2","non.p20",100,100,41,100,41,41,41,1866878
"blank1","blank2","p20",100,100,59,100,59,59,59,1866878
"blank1","blank2","primary",100,100,32,100,32,32,32,637494
"blank1","blank2","rural",100,100,49,100,49,49,49,1866878
"blank1","blank2","secondary",100,100,16,100,16,16,16,637494
"blank1","blank2","stunted",100,100,20,100,20,20,20,346272
"blank1","blank2","under5",100,100,17,100,17,17,17,1866878
"blank1","blank2","urban",100,100,51,100,51,51,51,1866878
"blank1","ext","female",100,45,52,45,24,52,24,1866878
"blank1","ext","fifteento49",100,45,44,45,17,44,17,1866878
"blank1","ext","fiveto14",100,45,28,45,14,28,14,1866878
"blank1","ext","gt49",100,45,11,45,6,11,6,1866878
"blank1","ext","higher",100,43,6,43,1,6,1,637494
"blank1","ext","male",100,45,48,45,21,48,21,1866878
"blank1","ext","no.birth.reg",100,49,26,49,13,26,13,346272
"blank1","ext","no.educ",100,43,68,43,36,68,36,637494
"blank1","ext","no.skilled.attendant",100,41,39,41,18,39,18,439525
"blank1","ext","non.p20",100,45,41,45,0,41,0,1866878
"blank1","ext","p20",100,45,59,45,45,59,45,1866878
"blank1","ext","primary",100,43,32,43,7,32,7,637494
"blank1","ext","rural",100,45,49,45,39,49,39,1866878
"blank1","ext","secondary",100,43,16,43,3,16,3,637494
"blank1","ext","stunted",100,49,20,49,6,20,6,346272
"blank1","ext","under5",100,45,17,45,8,17,8,1866878
"blank1","ext","urban",100,45,51,45,6,51,6,1866878
"blank1","female","fifteento49",100,52,44,52,23,44,23,1866878
"blank1","female","fiveto14",100,52,28,52,14,28,14,1866878
"blank1","female","gt49",100,52,11,52,6,11,6,1866878
