"indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"blank1","blank2","ext",100,100,67,100,67,67,67,11453810
"blank1","blank2","female",100,100,53,100,53,53,53,11453810
"blank1","blank2","fifteento49",100,100,36,100,36,36,36,11453810
"blank1","blank2","fiveto14",100,100,35,100,35,35,35,11453810
"blank1","blank2","gt49",100,100,11,100,11,11,11,11453810
"blank1","blank2","higher",100,100,2,100,2,2,2,4244716
"blank1","blank2","male",100,100,47,100,47,47,47,11453810
"blank1","blank2","no.birth.reg",100,100,65,100,65,65,65,1854951
"blank1","blank2","no.educ",100,100,86,100,86,86,86,4244716
"blank1","blank2","no.skilled.attendant",100,100,83,100,83,83,83,2699309
"blank1","blank2","non.p20",100,100,21,100,21,21,21,11453810
"blank1","blank2","p20",100,100,79,100,79,79,79,11453810
"blank1","blank2","primary",100,100,14,100,14,14,14,4244716
"blank1","blank2","rural",100,100,75,100,75,75,75,11453810
"blank1","blank2","secondary",100,100,9,100,9,9,9,4244716
"blank1","blank2","stunted",100,100,32,100,32,32,32,1854951
"blank1","blank2","under5",100,100,18,100,18,18,18,11453810
"blank1","blank2","urban",100,100,25,100,25,25,25,11453810
"blank1","ext","female",100,67,53,67,36,53,36,11453810
"blank1","ext","fifteento49",100,67,36,67,23,36,23,11453810
"blank1","ext","fiveto14",100,67,35,67,25,35,25,11453810
"blank1","ext","gt49",100,67,11,67,7,11,7,11453810
"blank1","ext","higher",100,67,2,67,0,2,0,4244716
"blank1","ext","male",100,67,47,67,31,47,31,11453810
"blank1","ext","no.birth.reg",100,68,65,68,46,65,46,1854951
"blank1","ext","no.educ",100,67,86,67,63,86,63,4244716
"blank1","ext","no.skilled.attendant",100,66,83,66,59,83,59,2699309
"blank1","ext","non.p20",100,67,21,67,0,21,0,11453810
"blank1","ext","p20",100,67,79,67,67,79,67,11453810
"blank1","ext","primary",100,67,14,67,4,14,4,4244716
"blank1","ext","rural",100,67,75,67,57,75,57,11453810
"blank1","ext","secondary",100,67,9,67,2,9,2,4244716
"blank1","ext","stunted",100,68,32,68,18,32,18,1854951
"blank1","ext","under5",100,67,18,67,12,18,12,11453810
"blank1","ext","urban",100,67,25,67,10,25,10,11453810
"blank1","female","fifteento49",100,53,36,53,21,36,21,11453810
"blank1","female","fiveto14",100,53,35,53,17,35,17,11453810
"blank1","female","gt49",100,53,11,53,6,11,6,11453810
"blank1","female","higher",100,56,2,56,0,2,0,4244716
"blank1","female","male",100,53,47,53,0,47,0,11453810
"blank1","female","no.birth.reg",100,49,65,49,28,65,28,1854951
"blank1","female","no.educ",100,56,86,56,53,86,53,4244716
"blank1","female","no.skilled.attendant",100,100,83,100,83,83,83,2699309
"blank1","female","non.p20",100,53,21,53,11,21,11,11453810
"blank1","female","p20",100,53,79,53,42,79,42,11453810
"blank1","female","primary",100,56,14,56,3,14,3,4244716
"blank1","female","rural",100,53,75,53,40,75,40,11453810
"blank1","female","secondary",100,56,9,56,2,9,2,4244716
"blank1","female","stunted",100,49,32,49,10,32,10,1854951
"blank1","female","under5",100,53,18,53,9,18,9,11453810
"blank1","female","urban",100,53,25,53,13,25,13,11453810
"blank1","fifteento49","fiveto14",100,36,35,36,0,35,0,11453810
"blank1","fifteento49","gt49",100,36,11,36,0,11,0,11453810
"blank1","fifteento49","higher",100,69,2,69,2,2,2,4244716
"blank1","fifteento49","male",100,36,47,36,15,47,15,11453810
"blank1","fifteento49","no.birth.reg",100,0,65,0,0,65,0,1854951
"blank1","fifteento49","no.educ",100,69,86,69,57,86,57,4244716
"blank1","fifteento49","no.skilled.attendant",100,100,83,100,83,83,83,2699309
"blank1","fifteento49","non.p20",100,36,21,36,9,21,9,11453810
"blank1","fifteento49","p20",100,36,79,36,27,79,27,11453810
"blank1","fifteento49","primary",100,69,14,69,12,14,12,4244716
"blank1","fifteento49","rural",100,36,75,36,27,75,27,11453810
"blank1","fifteento49","secondary",100,69,9,69,7,9,7,4244716
"blank1","fifteento49","stunted",100,0,32,0,0,32,0,1854951
"blank1","fifteento49","under5",100,36,18,36,0,18,0,11453810
"blank1","fifteento49","urban",100,36,25,36,10,25,10,11453810
"blank1","fiveto14","gt49",100,35,11,35,0,11,0,11453810
"blank1","fiveto14","higher",100,0,2,0,0,2,0,4244716
"blank1","fiveto14","male",100,35,47,35,18,47,18,11453810
"blank1","fiveto14","no.birth.reg",100,0,65,0,0,65,0,1854951
"blank1","fiveto14","no.educ",100,0,86,0,0,86,0,4244716
"blank1","fiveto14","no.skilled.attendant",100,0,83,0,0,83,0,2699309
"blank1","fiveto14","non.p20",100,35,21,35,7,21,7,11453810
"blank1","fiveto14","p20",100,35,79,35,29,79,29,11453810
"blank1","fiveto14","primary",100,0,14,0,0,14,0,4244716
"blank1","fiveto14","rural",100,35,75,35,27,75,27,11453810
"blank1","fiveto14","secondary",100,0,9,0,0,9,0,4244716
"blank1","fiveto14","stunted",100,0,32,0,0,32,0,1854951
"blank1","fiveto14","under5",100,35,18,35,0,18,0,11453810
"blank1","fiveto14","urban",100,35,25,35,8,25,8,11453810
"blank1","gt49","higher",100,31,2,31,0,2,0,4244716
"blank1","gt49","male",100,11,47,11,5,47,5,11453810
"blank1","gt49","no.birth.reg",100,0,65,0,0,65,0,1854951
"blank1","gt49","no.educ",100,31,86,31,29,86,29,4244716
"blank1","gt49","no.skilled.attendant",100,0,83,0,0,83,0,2699309
"blank1","gt49","non.p20",100,11,21,11,2,21,2,11453810
