"indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"blank1","blank2","ext",100,100,1,100,1,1,1,1820631
"blank1","blank2","female",100,100,50,100,50,50,50,1820631
"blank1","blank2","fifteento49",100,100,53,100,53,53,53,1820631
"blank1","blank2","fiveto14",100,100,18,100,18,18,18,1820631
"blank1","blank2","gt49",100,100,21,100,21,21,21,1820631
"blank1","blank2","higher",100,100,19,100,19,19,19,915849
"blank1","blank2","male",100,100,50,100,50,50,50,1820631
"blank1","blank2","no.birth.reg",100,100,12,100,12,12,12,149735
"blank1","blank2","no.educ",100,100,16,100,16,16,16,915849
"blank1","blank2","no.skilled.attendant",100,100,82,100,82,82,82,465265
"blank1","blank2","non.p20",100,100,98,100,98,98,98,1820631
"blank1","blank2","p20",100,100,2,100,2,2,2,1820631
"blank1","blank2","primary",100,100,84,100,84,84,84,915849
"blank1","blank2","rural",100,100,63,100,63,63,63,1820631
"blank1","blank2","secondary",100,100,84,100,84,84,84,915849
"blank1","blank2","stunted",100,100,4,100,4,4,4,149735
"blank1","blank2","under5",100,100,8,100,8,8,8,1820631
"blank1","blank2","urban",100,100,37,100,37,37,37,1820631
"blank1","ext","female",100,1,50,1,0,50,0,1820631
"blank1","ext","fifteento49",100,1,53,1,0,53,0,1820631
"blank1","ext","fiveto14",100,1,18,1,0,18,0,1820631
"blank1","ext","gt49",100,1,21,1,0,21,0,1820631
"blank1","ext","higher",100,0,19,0,0,19,0,915849
"blank1","ext","male",100,1,50,1,0,50,0,1820631
"blank1","ext","no.birth.reg",100,2,12,2,0,12,0,149735
"blank1","ext","no.educ",100,0,16,0,0,16,0,915849
"blank1","ext","no.skilled.attendant",100,0,82,0,0,82,0,465265
"blank1","ext","non.p20",100,1,98,1,0,98,0,1820631
"blank1","ext","p20",100,1,2,1,1,2,1,1820631
"blank1","ext","primary",100,0,84,0,0,84,0,915849
"blank1","ext","rural",100,1,63,1,0,63,0,1820631
"blank1","ext","secondary",100,0,84,0,0,84,0,915849
"blank1","ext","stunted",100,2,4,2,0,4,0,149735
"blank1","ext","under5",100,1,8,1,0,8,0,1820631
"blank1","ext","urban",100,1,37,1,0,37,0,1820631
"blank1","female","fifteento49",100,50,53,50,26,53,26,1820631
"blank1","female","fiveto14",100,50,18,50,9,18,9,1820631
"blank1","female","gt49",100,50,21,50,11,21,11,1820631
"blank1","female","higher",100,51,19,51,7,19,7,915849
"blank1","female","male",100,50,50,50,0,50,0,1820631
"blank1","female","no.birth.reg",100,47,12,47,5,12,5,149735
"blank1","female","no.educ",100,51,16,51,12,16,12,915849
"blank1","female","no.skilled.attendant",100,100,82,100,82,82,82,465265
"blank1","female","non.p20",100,50,98,50,49,98,49,1820631
"blank1","female","p20",100,50,2,50,1,2,1,1820631
"blank1","female","primary",100,51,84,51,39,84,39,915849
"blank1","female","rural",100,50,63,50,31,63,31,1820631
"blank1","female","secondary",100,51,84,51,39,84,39,915849
"blank1","female","stunted",100,47,4,47,2,4,2,149735
"blank1","female","under5",100,50,8,50,4,8,4,1820631
"blank1","female","urban",100,50,37,50,19,37,19,1820631
"blank1","fifteento49","fiveto14",100,53,18,53,0,18,0,1820631
"blank1","fifteento49","gt49",100,53,21,53,0,21,0,1820631
"blank1","fifteento49","higher",100,61,19,61,13,19,13,915849
