"indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"blank1","blank2","ext",100,100,39,100,39,39,39,10268157
"blank1","blank2","female",100,100,50,100,50,50,50,10268157
"blank1","blank2","fifteento49",100,100,0,100,0,0,0,10268157
"blank1","blank2","fiveto14",100,100,3,100,3,3,3,10268157
"blank1","blank2","gt49",100,100,0,100,0,0,0,10268157
"blank1","blank2","higher",,,,,,,,3419801
"blank1","blank2","male",100,100,50,100,50,50,50,10268157
"blank1","blank2","no.birth.reg",100,100,97,100,97,97,97,1909997
"blank1","blank2","no.educ",,,,,,,,3419801
"blank1","blank2","no.skilled.attendant",100,100,100,100,100,100,100,2256287
"blank1","blank2","non.p20",100,100,47,100,47,47,47,10268157
"blank1","blank2","p20",100,100,53,100,53,53,53,10268157
"blank1","blank2","primary",,,,,,,,3419801
"blank1","blank2","rural",100,100,62,100,62,62,62,10268157
"blank1","blank2","secondary",,,,,,,,3419801
"blank1","blank2","stunted",100,100,,100,,,,1909997
"blank1","blank2","under5",100,100,97,100,97,97,97,10268157
"blank1","blank2","urban",100,100,38,100,38,38,38,10268157
"blank1","ext","female",100,39,50,39,19,50,19,10268157
"blank1","ext","fifteento49",100,39,0,39,0,0,0,10268157
"blank1","ext","fiveto14",100,39,3,39,1,3,1,10268157
"blank1","ext","gt49",100,39,0,39,0,0,0,10268157
"blank1","ext","higher",,,,,,,,3419801
"blank1","ext","male",100,39,50,39,20,50,20,10268157
"blank1","ext","no.birth.reg",100,40,97,40,11,97,11,1909997
"blank1","ext","no.educ",,,,,,,,3419801
"blank1","ext","no.skilled.attendant",100,0,100,0,0,100,0,2256287
"blank1","ext","non.p20",100,39,47,39,0,47,0,10268157
"blank1","ext","p20",100,39,53,39,39,53,39,10268157
"blank1","ext","primary",,,,,,,,3419801
"blank1","ext","rural",100,39,62,39,39,62,39,10268157
"blank1","ext","secondary",,,,,,,,3419801
"blank1","ext","stunted",100,40,,40,0,,0,1909997
"blank1","ext","under5",100,39,97,39,39,97,39,10268157
"blank1","ext","urban",100,39,38,39,1,38,1,10268157
"blank1","female","fifteento49",100,50,0,50,0,0,0,10268157
"blank1","female","fiveto14",100,50,3,50,3,3,3,10268157
"blank1","female","gt49",100,50,0,50,0,0,0,10268157
"blank1","female","higher",,,,,,,,3419801
"blank1","female","male",100,50,50,50,0,50,0,10268157
"blank1","female","no.birth.reg",100,48,97,48,15,97,15,1909997
"blank1","female","no.educ",,,,,,,,3419801
"blank1","female","no.skilled.attendant",100,100,100,100,100,100,100,2256287
"blank1","female","non.p20",100,50,47,50,24,47,24,10268157
"blank1","female","p20",100,50,53,50,26,53,26,10268157
"blank1","female","primary",,,,,,,,3419801
"blank1","female","rural",100,50,62,50,31,62,31,10268157
"blank1","female","secondary",,,,,,,,3419801
"blank1","female","stunted",100,48,,48,0,,0,1909997
"blank1","female","under5",100,50,97,50,47,97,47,10268157
"blank1","female","urban",100,50,38,50,19,38,19,10268157
"blank1","fifteento49","fiveto14",100,0,3,0,0,3,0,10268157
"blank1","fifteento49","gt49",100,0,0,0,0,0,0,10268157
"blank1","fifteento49","higher",,,,,,,,3419801
"blank1","fifteento49","male",100,0,50,0,0,50,0,10268157
"blank1","fifteento49","no.birth.reg",100,0,97,0,0,97,0,1909997
"blank1","fifteento49","no.educ",,,,,,,,3419801
"blank1","fifteento49","no.skilled.attendant",100,100,100,100,100,100,100,2256287
"blank1","fifteento49","non.p20",100,0,47,0,0,47,0,10268157
"blank1","fifteento49","p20",100,0,53,0,0,53,0,10268157
"blank1","fifteento49","primary",,,,,,,,3419801
"blank1","fifteento49","rural",100,0,62,0,0,62,0,10268157
"blank1","fifteento49","secondary",,,,,,,,3419801
"blank1","fifteento49","stunted",100,0,,0,0,,0,1909997
"blank1","fifteento49","under5",100,0,97,0,0,97,0,10268157
"blank1","fifteento49","urban",100,0,38,0,0,38,0,10268157
"blank1","fiveto14","gt49",100,3,0,3,0,0,0,10268157
"blank1","fiveto14","higher",,,,,,,,3419801
"blank1","fiveto14","male",100,3,50,3,0,50,0,10268157
"blank1","fiveto14","no.birth.reg",100,0,97,0,0,97,0,1909997
"blank1","fiveto14","no.educ",,,,,,,,3419801
"blank1","fiveto14","no.skilled.attendant",100,0,100,0,0,100,0,2256287
"blank1","fiveto14","non.p20",100,3,47,3,2,47,2,10268157
"blank1","fiveto14","p20",100,3,53,3,1,53,1,10268157
"blank1","fiveto14","primary",,,,,,,,3419801
"blank1","fiveto14","rural",100,3,62,3,1,62,1,10268157
"blank1","fiveto14","secondary",,,,,,,,3419801
"blank1","fiveto14","stunted",100,0,,0,0,,0,1909997
"blank1","fiveto14","under5",100,3,97,3,0,97,0,10268157
"blank1","fiveto14","urban",100,3,38,3,2,38,2,10268157
"blank1","gt49","higher",,,,,,,,3419801
"blank1","gt49","male",100,0,50,0,0,50,0,10268157
"blank1","gt49","no.birth.reg",100,0,97,0,0,97,0,1909997
"blank1","gt49","no.educ",,,,,,,,3419801
"blank1","gt49","no.skilled.attendant",100,0,100,0,0,100,0,2256287
"blank1","gt49","non.p20",100,0,47,0,0,47,0,10268157
"blank1","gt49","p20",100,0,53,0,0,53,0,10268157
"blank1","gt49","primary",,,,,,,,3419801
"blank1","gt49","rural",100,0,62,0,0,62,0,10268157
"blank1","gt49","secondary",,,,,,,,3419801
"blank1","gt49","stunted",100,0,,0,0,,0,1909997
"blank1","gt49","under5",100,0,97,0,0,97,0,10268157
"blank1","gt49","urban",100,0,38,0,0,38,0,10268157
"blank1","higher","male",,,,,,,,3419801
"blank1","higher","no.birth.reg",,,,,,,,3419801
"blank1","higher","no.educ",,,,,,,,3419801
"blank1","higher","no.skilled.attendant",,,,,,,,1253997
"blank1","higher","non.p20",,,,,,,,3419801
"blank1","higher","p20",,,,,,,,3419801
"blank1","higher","primary",,,,,,,,3419801
"blank1","higher","rural",,,,,,,,3419801
"blank1","higher","secondary",,,,,,,,3419801
"blank1","higher","stunted",,,,,,,,3419801
"blank1","higher","under5",,,,,,,,3419801
"blank1","higher","urban",,,,,,,,3419801
"blank1","male","no.birth.reg",100,52,97,52,17,97,17,1909997
"blank1","male","no.educ",,,,,,,,3419801
"blank1","male","no.skilled.attendant",100,0,100,0,0,100,0,2256287
"blank1","male","non.p20",100,50,47,50,23,47,23,10268157
"blank1","male","p20",100,50,53,50,27,53,27,10268157
"blank1","male","primary",,,,,,,,3419801
"blank1","male","rural",100,50,62,50,31,62,31,10268157
"blank1","male","secondary",,,,,,,,3419801
"blank1","male","stunted",100,52,,52,0,,0,1909997
"blank1","male","under5",100,50,97,50,50,97,50,10268157
"blank1","male","urban",100,50,38,50,19,38,19,10268157
"blank1","no.birth.reg","no.educ",,,,,,,,3419801
"blank1","no.birth.reg","no.skilled.attendant",,,,,,,,1909997
"blank1","no.birth.reg","non.p20",100,97,46,97,13,46,13,1909997
"blank1","no.birth.reg","p20",100,97,54,97,19,54,19,1909997
"blank1","no.birth.reg","primary",,,,,,,,3419801
"blank1","no.birth.reg","rural",100,97,63,97,25,63,25,1909997
"blank1","no.birth.reg","secondary",,,,,,,,3419801
"blank1","no.birth.reg","stunted",100,97,,97,0,,0,1909997
"blank1","no.birth.reg","under5",100,97,100,97,97,100,97,1909997
"blank1","no.birth.reg","urban",100,97,37,97,9,37,9,1909997
"blank1","no.educ","no.skilled.attendant",,,,,,,,1253997
"blank1","no.educ","non.p20",,,,,,,,3419801
"blank1","no.educ","p20",,,,,,,,3419801
"blank1","no.educ","primary",,,,,,,,3419801
"blank1","no.educ","rural",,,,,,,,3419801
"blank1","no.educ","secondary",,,,,,,,3419801
"blank1","no.educ","stunted",,,,,,,,3419801
"blank1","no.educ","under5",,,,,,,,3419801
"blank1","no.educ","urban",,,,,,,,3419801
"blank1","no.skilled.attendant","non.p20",100,100,100,100,100,100,100,2256287
"blank1","no.skilled.attendant","p20",100,100,0,100,0,0,0,2256287
"blank1","no.skilled.attendant","primary",,,,,,,,1253997
"blank1","no.skilled.attendant","rural",100,100,0,100,0,0,0,2256287
"blank1","no.skilled.attendant","secondary",,,,,,,,1253997
"blank1","no.skilled.attendant","stunted",,,,,,,,1909997
"blank1","no.skilled.attendant","under5",100,100,0,100,0,0,0,2256287
"blank1","no.skilled.attendant","urban",100,100,100,100,100,100,100,2256287
"blank1","non.p20","p20",100,47,53,47,0,53,0,10268157
"blank1","non.p20","primary",,,,,,,,3419801
"blank1","non.p20","rural",100,47,62,47,12,62,12,10268157
