"indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"blank1","blank2","ext",100,100,19,100,19,19,19,7849059
"blank1","blank2","female",100,100,51,100,51,51,51,7849059
"blank1","blank2","fifteento49",100,100,50,100,50,50,50,7849059
"blank1","blank2","fiveto14",100,100,24,100,24,24,24,7849059
"blank1","blank2","gt49",100,100,14,100,14,14,14,7849059
"blank1","blank2","higher",100,100,8,100,8,8,8,3527929
"blank1","blank2","male",100,100,49,100,49,49,49,7849059
"blank1","blank2","no.birth.reg",100,100,6,100,6,6,6,834863
"blank1","blank2","no.educ",100,100,46,100,46,46,46,3527929
"blank1","blank2","no.skilled.attendant",100,100,54,100,54,54,54,2114937
"blank1","blank2","non.p20",100,100,72,100,72,72,72,7849059
"blank1","blank2","p20",100,100,28,100,28,28,28,7849059
"blank1","blank2","primary",100,100,54,100,54,54,54,3527929
"blank1","blank2","rural",100,100,51,100,51,51,51,7849059
"blank1","blank2","secondary",100,100,18,100,18,18,18,3527929
"blank1","blank2","stunted",100,100,18,100,18,18,18,834863
"blank1","blank2","under5",100,100,11,100,11,11,11,7849059
"blank1","blank2","urban",100,100,49,100,49,49,49,7849059
"blank1","ext","female",100,19,51,19,9,51,9,7849059
"blank1","ext","fifteento49",100,19,50,19,8,50,8,7849059
"blank1","ext","fiveto14",100,19,24,19,6,24,6,7849059
"blank1","ext","gt49",100,19,14,19,2,14,2,7849059
"blank1","ext","higher",100,16,8,16,0,8,0,3527929
"blank1","ext","male",100,19,49,19,10,49,10,7849059
"blank1","ext","no.birth.reg",100,23,6,23,2,6,2,834863
"blank1","ext","no.educ",100,16,46,16,13,46,13,3527929
"blank1","ext","no.skilled.attendant",100,15,54,15,6,54,6,2114937
"blank1","ext","non.p20",100,19,72,19,0,72,0,7849059
"blank1","ext","p20",100,19,28,19,19,28,19,7849059
"blank1","ext","primary",100,16,54,16,3,54,3,3527929
"blank1","ext","rural",100,19,51,19,18,51,18,7849059
"blank1","ext","secondary",100,16,18,16,0,18,0,3527929
"blank1","ext","stunted",100,23,18,23,8,18,8,834863
"blank1","ext","under5",100,19,11,19,3,11,3,7849059
"blank1","ext","urban",100,19,49,19,1,49,1,7849059
"blank1","female","fifteento49",100,51,50,51,26,50,26,7849059
"blank1","female","fiveto14",100,51,24,51,12,24,12,7849059
"blank1","female","gt49",100,51,14,51,8,14,8,7849059
"blank1","female","higher",100,54,8,54,4,8,4,3527929
"blank1","female","male",100,51,49,51,0,49,0,7849059
"blank1","female","no.birth.reg",100,48,6,48,3,6,3,834863
"blank1","female","no.educ",100,54,46,54,24,46,24,3527929
"blank1","female","no.skilled.attendant",100,100,54,100,54,54,54,2114937
"blank1","female","non.p20",100,51,72,51,37,72,37,7849059
"blank1","female","p20",100,51,28,51,14,28,14,7849059
"blank1","female","primary",100,54,54,54,30,54,30,3527929
"blank1","female","rural",100,51,51,51,25,51,25,7849059
"blank1","female","secondary",100,54,18,54,10,18,10,3527929
"blank1","female","stunted",100,48,18,48,8,18,8,834863
"blank1","female","under5",100,51,11,51,5,11,5,7849059
"blank1","female","urban",100,51,49,51,26,49,26,7849059
"blank1","fifteento49","fiveto14",100,50,24,50,0,24,0,7849059
"blank1","fifteento49","gt49",100,50,14,50,0,14,0,7849059
"blank1","fifteento49","higher",100,67,8,67,7,8,7,3527929
"blank1","fifteento49","male",100,50,49,50,24,49,24,7849059
"blank1","fifteento49","no.birth.reg",100,0,6,0,0,6,0,834863
"blank1","fifteento49","no.educ",100,67,46,67,24,46,24,3527929
"blank1","fifteento49","no.skilled.attendant",100,100,54,100,54,54,54,2114937
"blank1","fifteento49","non.p20",100,50,72,50,38,72,38,7849059
"blank1","fifteento49","p20",100,50,28,50,13,28,13,7849059
"blank1","fifteento49","primary",100,67,54,67,43,54,43,3527929
"blank1","fifteento49","rural",100,50,51,50,24,51,24,7849059
"blank1","fifteento49","secondary",100,67,18,67,14,18,14,3527929
"blank1","fifteento49","stunted",100,0,18,0,0,18,0,834863
"blank1","fifteento49","under5",100,50,11,50,0,11,0,7849059
"blank1","fifteento49","urban",100,50,49,50,26,49,26,7849059
"blank1","fiveto14","gt49",100,24,14,24,0,14,0,7849059
"blank1","fiveto14","higher",100,0,8,0,0,8,0,3527929
"blank1","fiveto14","male",100,24,49,24,12,49,12,7849059
"blank1","fiveto14","no.birth.reg",100,0,6,0,0,6,0,834863
"blank1","fiveto14","no.educ",100,0,46,0,0,46,0,3527929
"blank1","fiveto14","no.skilled.attendant",100,0,54,0,0,54,0,2114937
"blank1","fiveto14","non.p20",100,24,72,24,16,72,16,7849059
"blank1","fiveto14","p20",100,24,28,24,8,28,8,7849059
"blank1","fiveto14","primary",100,0,54,0,0,54,0,3527929
"blank1","fiveto14","rural",100,24,51,24,14,51,14,7849059
"blank1","fiveto14","secondary",100,0,18,0,0,18,0,3527929
"blank1","fiveto14","stunted",100,0,18,0,0,18,0,834863
"blank1","fiveto14","under5",100,24,11,24,0,11,0,7849059
"blank1","fiveto14","urban",100,24,49,24,11,49,11,7849059
"blank1","gt49","higher",100,33,8,33,2,8,2,3527929
"blank1","gt49","male",100,14,49,14,7,49,7,7849059
"blank1","gt49","no.birth.reg",100,0,6,0,0,6,0,834863
"blank1","gt49","no.educ",100,33,46,33,22,46,22,3527929
"blank1","gt49","no.skilled.attendant",100,0,54,0,0,54,0,2114937
"blank1","gt49","non.p20",100,14,72,14,10,72,10,7849059
"blank1","gt49","p20",100,14,28,14,4,28,4,7849059
"blank1","gt49","primary",100,33,54,33,11,54,11,3527929
"blank1","gt49","rural",100,14,51,14,7,51,7,7849059
"blank1","gt49","secondary",100,33,18,33,4,18,4,3527929
"blank1","gt49","stunted",100,0,18,0,0,18,0,834863
"blank1","gt49","under5",100,14,11,14,0,11,0,7849059
"blank1","gt49","urban",100,14,49,14,7,49,7,7849059
"blank1","higher","male",100,8,46,8,4,46,4,3527929
