"indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"blank1","blank2","ext",100,100,0,100,0,0,0,45165211
"blank1","blank2","female",100,100,54,100,54,54,54,45165211
"blank1","blank2","fifteento49",100,100,46,100,46,46,46,45165211
"blank1","blank2","fiveto14",100,100,9,100,9,9,9,45165211
"blank1","blank2","gt49",100,100,40,100,40,40,40,45165211
"blank1","blank2","higher",100,100,70,100,70,70,70,33213215
"blank1","blank2","male",100,100,46,100,46,46,46,45165211
"blank1","blank2","no.birth.reg",100,100,0,100,0,0,0,2533365
"blank1","blank2","no.educ",100,100,3,100,3,3,3,33213215
"blank1","blank2","no.skilled.attendant",100,100,90,100,90,90,90,11116209
"blank1","blank2","non.p20",100,100,100,100,100,100,100,45165211
"blank1","blank2","p20",100,100,0,100,0,0,0,45165211
"blank1","blank2","primary",100,100,97,100,97,97,97,33213215
"blank1","blank2","rural",100,100,28,100,28,28,28,45165211
"blank1","blank2","secondary",100,100,97,100,97,97,97,33213215
"blank1","blank2","stunted",100,100,,100,,,,2533365
"blank1","blank2","under5",100,100,5,100,5,5,5,45165211
"blank1","blank2","urban",100,100,72,100,72,72,72,45165211
"blank1","ext","female",100,0,54,0,0,54,0,45165211
"blank1","ext","fifteento49",100,0,46,0,0,46,0,45165211
"blank1","ext","fiveto14",100,0,9,0,0,9,0,45165211
"blank1","ext","gt49",100,0,40,0,0,40,0,45165211
"blank1","ext","higher",100,0,70,0,0,70,0,33213215
"blank1","ext","male",100,0,46,0,0,46,0,45165211
"blank1","ext","no.birth.reg",100,0,0,0,0,0,0,2533365
"blank1","ext","no.educ",100,0,3,0,0,3,0,33213215
"blank1","ext","no.skilled.attendant",100,0,90,0,0,90,0,11116209
"blank1","ext","non.p20",100,0,100,0,0,100,0,45165211
"blank1","ext","p20",100,0,0,0,0,0,0,45165211
"blank1","ext","primary",100,0,97,0,0,97,0,33213215
"blank1","ext","rural",100,0,28,0,0,28,0,45165211
"blank1","ext","secondary",100,0,97,0,0,97,0,33213215
"blank1","ext","stunted",100,0,,0,0,,0,2533365
"blank1","ext","under5",100,0,5,0,0,5,0,45165211
"blank1","ext","urban",100,0,72,0,0,72,0,45165211
"blank1","female","fifteento49",100,54,46,54,23,46,23,45165211
"blank1","female","fiveto14",100,54,9,54,4,9,4,45165211
"blank1","female","gt49",100,54,40,54,24,40,24,45165211
"blank1","female","higher",100,56,70,56,37,70,37,33213215
"blank1","female","male",100,54,46,54,0,46,0,45165211
"blank1","female","no.birth.reg",100,50,0,50,0,0,0,2533365
"blank1","female","no.educ",100,56,3,56,2,3,2,33213215
"blank1","female","no.skilled.attendant",100,100,90,100,90,90,90,11116209
"blank1","female","non.p20",100,54,100,54,54,100,54,45165211
"blank1","female","p20",100,54,0,54,0,0,0,45165211
"blank1","female","primary",100,56,97,56,53,97,53,33213215
"blank1","female","rural",100,54,28,54,15,28,15,45165211
"blank1","female","secondary",100,56,97,56,53,97,53,33213215
"blank1","female","stunted",100,50,,50,0,,0,2533365
"blank1","female","under5",100,54,5,54,3,5,3,45165211
"blank1","female","urban",100,54,72,54,39,72,39,45165211
"blank1","fifteento49","fiveto14",100,46,9,46,0,9,0,45165211
"blank1","fifteento49","gt49",100,46,40,46,0,40,0,45165211
"blank1","fifteento49","higher",100,47,70,47,39,70,39,33213215
"blank1","fifteento49","male",100,46,46,46,23,46,23,45165211
"blank1","fifteento49","no.birth.reg",100,0,0,0,0,0,0,2533365
"blank1","fifteento49","no.educ",100,47,3,47,0,3,0,33213215
"blank1","fifteento49","no.skilled.attendant",100,100,90,100,90,90,90,11116209
"blank1","fifteento49","non.p20",100,46,100,46,46,100,46,45165211
"blank1","fifteento49","p20",100,46,0,46,0,0,0,45165211
"blank1","fifteento49","primary",100,47,97,47,47,97,47,33213215
"blank1","fifteento49","rural",100,46,28,46,12,28,12,45165211
"blank1","fifteento49","secondary",100,47,97,47,47,97,47,33213215
"blank1","fifteento49","stunted",100,0,,0,0,,0,2533365
"blank1","fifteento49","under5",100,46,5,46,0,5,0,45165211
